Rank, Artist, Album
50,Floating Points, Crush
49,Faye Webster, Atlanta Millionaires Club
48,Danny Brown, uknowhatimsayin¿
47,Barker, Utility
46,Chai, PUNK
45,DaBaby, Baby on Baby
44,Holly Herndon, PROTO
43,Rico Nasty / Kenny Beats, Anger Management
42,100 gecs, 1000 gecs
41,Blood Incantation, Hidden History of the Human Race
40,Thom Yorke, ANIMA
39,Aldous Harding, Designer
38,RAP, EXPORT
37,Nilüfer Yanya, Miss Universe
36,Denzel Curry, ZUU
35,Mannequin Pussy, Patience
34,slowthai, Nothing Great About Britain
33,Polo G, Die a Legend
32,Sharon Van Etten, Remind Me Tomorrow
31,MIKE, Tears of Joy
30,Oso Oso, Basking in the Glow
29,Ariana Grande, thank u, next
28,Nick Cave & the Bad Seeds, Ghosteen
27,Florist, Emily Alone
26,Burna Boy, African Giant
25,Vampire Weekend, Father of the Bride
24,Kim Gordon, No Home Record
23,Tyler, the Creator, IGOR
22,Cate Le Bon, Reward
21,Billie Eilish, When We All Fall Asleep, Where Do We Go?
20,Jenny Hval, The Practice of Love
19,Jessica Pratt, Quiet Signs
18,Clairo, Immunity
17,(Sandy) Alex G, House of Sugar
16,Bon Iver, i,i
15,Bill Callahan, Shepherd in a Sheepskin Vest
14,Beyoncé, Homecoming
13,Big Thief, Two Hands
12,Brittany Howard, Jaime
11,Jamila Woods, LEGACY! LEGACY!
10,Purple Mountains, Purple Mountains
9,Weyes Blood, Titanic Rising
8,Fennesz, Agora
7,Helado Negro, This Is How You Smile
6,Bad Bunny, X 100PRE
5,Solange, When I Get Home
4,Angel Olsen, All Mirrors
3,Big Thief, U.F.O.F.
2,FKA twigs, MAGDALENE
1,Lana Del Rey, Norman Fucking Rockwell!
